WKT,n_points,n_recordings,BRSP_n,DUFL_n,GCSP_n,HOLA_n,TOSO_n
"POLYGON((-135.23961684472926 60.64420599999997,-135.28552899999983 60.657205999999974,-135.3314411552704 60.64420599999997,-135.3314411552704 60.61820599999997,-135.28552899999983 60.60520599999997,-135.23961684472926 60.61820599999997,-135.23961684472926 60.64420599999997))",7,14,0,4,0,1,9
"POLYGON((-135.14361684472925 60.64420599999997,-135.18952899999982 60.657205999999974,-135.2354411552704 60.64420599999997,-135.2354411552704 60.61820599999997,-135.18952899999982 60.60520599999997,-135.14361684472925 60.61820599999997,-135.14361684472925 60.64420599999997))",1,1,0,1,0,0,0
"POLYGON((-135.47944967186305 60.761115999999966,-135.52552899999984 60.77411599999997,-135.57160832813662 60.761115999999966,-135.57160832813662 60.73511599999997,-135.52552899999984 60.722115999999964,-135.47944967186305 60.73511599999997,-135.47944967186305 60.761115999999966))",20,137,0,65,24,29,58
"POLYGON((-135.19144967186304 60.761115999999966,-135.23752899999982 60.77411599999997,-135.2836083281366 60.761115999999966,-135.2836083281366 60.73511599999997,-135.23752899999982 60.722115999999964,-135.19144967186304 60.73511599999997,-135.19144967186304 60.761115999999966))",3,9,0,15,0,0,0
"POLYGON((-135.52739363394 60.800085999999965,-135.57352899999984 60.81308599999997,-135.61966436605968 60.800085999999965,-135.61966436605968 60.77408599999997,-135.57352899999984 60.76108599999996,-135.52739363394 60.77408599999997,-135.52739363394 60.800085999999965))",6,30,0,3,33,5,1
"POLYGON((-135.43139363394 60.800085999999965,-135.47752899999983 60.81308599999997,-135.52366436605968 60.800085999999965,-135.52366436605968 60.77408599999997,-135.47752899999983 60.76108599999996,-135.43139363394 60.77408599999997,-135.43139363394 60.800085999999965))",1,6,0,0,0,0,10
"POLYGON((-135.95933743815877 60.839055999999964,-136.00552899999985 60.85205599999997,-136.05172056184094 60.839055999999964,-136.05172056184094 60.81305599999997,-136.00552899999985 60.80005599999996,-135.95933743815877 60.81305599999997,-135.95933743815877 60.839055999999964))",6,25,0,0,0,0,27
"POLYGON((-135.38333743815875 60.839055999999964,-135.42952899999983 60.85205599999997,-135.47572056184092 60.839055999999964,-135.47572056184092 60.81305599999997,-135.42952899999983 60.80005599999996,-135.38333743815875 60.81305599999997,-135.38333743815875 60.839055999999964))",3,4,0,4,0,0,0
"POLYGON((-136.96728108388973 60.87802599999996,-137.0135289999999 60.89102599999997,-137.05977691611005 60.87802599999996,-137.05977691611005 60.85202599999997,-137.0135289999999 60.83902599999996,-136.96728108388973 60.85202599999997,-136.96728108388973 60.87802599999996))",1,2,0,0,0,0,2
"POLYGON((-136.87128108388973 60.87802599999996,-136.9175289999999 60.89102599999997,-136.96377691611005 60.87802599999996,-136.96377691611005 60.85202599999997,-136.9175289999999 60.83902599999996,-136.87128108388973 60.85202599999997,-136.87128108388973 60.87802599999996))",21,146,1,25,69,93,27
"POLYGON((-135.9112810838897 60.87802599999996,-135.95752899999985 60.89102599999997,-136.00377691611 60.87802599999996,-136.00377691611 60.85202599999997,-135.95752899999985 60.83902599999996,-135.9112810838897 60.85202599999997,-135.9112810838897 60.87802599999996))",12,117,2,27,66,52,14
"POLYGON((-138.55111106380846 60.99493599999996,-138.59752899999995 61.007935999999965,-138.64394693619144 60.99493599999996,-138.64394693619144 60.968935999999964,-138.59752899999995 60.95593599999996,-138.55111106380846 60.968935999999964,-138.55111106380846 60.99493599999996))",1,1,0,0,0,0,1
"POLYGON((-138.5030540692238 61.03390599999996,-138.54952899999995 61.046905999999964,-138.5960039307761 61.03390599999996,-138.5960039307761 61.00790599999996,-138.54952899999995 60.99490599999996,-138.5030540692238 61.00790599999996,-138.5030540692238 61.03390599999996))",15,77,0,24,6,21,35
"POLYGON((-139.41441631262302 61.46257599999995,-139.46152899999998 61.475575999999954,-139.50864168737695 61.46257599999995,-139.50864168737695 61.43657599999995,-139.46152899999998 61.42357599999995,-139.41441631262302 61.43657599999995,-139.41441631262302 61.46257599999995))",4,14,2,4,5,0,5
"POLYGON((-139.60605988156578 61.69639599999994,-139.653529 61.70939599999995,-139.7009981184342 61.69639599999994,-139.7009981184342 61.67039599999995,-139.653529 61.65739599999994,-139.60605988156578 61.67039599999995,-139.60605988156578 61.69639599999994))",5,6,0,0,1,0,5
